                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4132,                  4.383,                 2.5045,                0.86833,                0.14773,                 0.1844,                0.11342,                 2.2043,                 3.9358,                 2.7028,              0.0003125,              0.0003125,              0.0003125
                      2,                 1.5522,                 3.0205,                 1.7994,                0.67608,                0.35838,                0.40322,                 0.2385,                 1.8935,                 3.1282,                 2.4866,             0.00063119,             0.00063119,             0.00063119
                      3,                 1.3938,                 2.2779,                 1.6369,                0.75991,                0.45029,                0.54304,                0.28585,                 1.9168,                  2.717,                 2.4138,             0.00094344,             0.00094344,             0.00094344
                      4,                 1.3329,                 2.0899,                 1.6078,                0.70192,                0.49429,                0.57614,                0.28641,                 2.0044,                 2.5025,                 2.4998,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2299,                 1.7439,                 1.5029,                0.68083,                0.56725,                 0.6208,                  0.354,                 1.8361,                 1.7926,                 2.2647,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1652,                 1.5568,                 1.4507,                0.56306,                0.56687,                 0.5425,                0.31616,                  1.881,                 1.8043,                 2.1845,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1332,                 1.5463,                  1.477,                0.72211,                0.67088,                0.71122,                0.38663,                 1.7034,                  1.427,                 2.2218,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0903,                 1.4062,                 1.4249,                 0.7567,                0.67918,                0.73303,                0.42772,                 1.5771,                 1.4733,                 2.0964,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0529,                 1.4346,                 1.4362,                0.66408,                0.71787,                0.71089,                0.39301,                 1.7384,                 1.4557,                 2.2186,               0.001151,               0.001151,               0.001151
                     10,                 1.0493,                 1.2833,                   1.37,                0.65326,                0.63175,                 0.6542,                0.34756,                  1.846,                 1.5668,                 2.2602,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0215,                 1.1942,                 1.3711,                0.68253,                0.61377,                 0.6365,                0.37041,                 1.7458,                  1.574,                 2.1155,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0346,                 1.1618,                 1.3688,                0.67408,                0.73142,                0.73074,                0.41226,                 1.6242,                 1.5404,                 2.1562,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0215,                 1.1109,                 1.3329,                0.80225,                0.68224,                0.75648,                0.40142,                 1.7011,                  1.364,                 2.2086,              0.0011015,              0.0011015,              0.0011015
                     14,                0.97573,                  1.075,                 1.3397,                0.75761,                0.62518,                0.70913,                0.39881,                 1.6898,                 1.4394,                 2.1369,              0.0010891,              0.0010891,              0.0010891
                     15,                0.93998,                0.97641,                 1.2889,                0.74123,                0.55833,                 0.6462,                0.38181,                 1.7575,                 1.5552,                 2.2311,              0.0010768,              0.0010768,              0.0010768
                     16,                0.92457,                0.95079,                 1.2888,                0.74045,                0.76811,                0.76152,                0.41866,                 1.6583,                 1.3062,                 2.1538,              0.0010644,              0.0010644,              0.0010644
                     17,                0.94791,                0.95373,                 1.3001,                0.75774,                0.64265,                0.71858,                0.41944,                 1.6691,                 1.3596,                 2.1672,               0.001052,               0.001052,               0.001052
                     18,                0.94718,                 0.9494,                 1.2969,                0.74881,                0.74014,                0.76029,                0.45503,                 1.5829,                 1.2943,                 2.0757,              0.0010396,              0.0010396,              0.0010396
                     19,                0.89766,                0.84431,                 1.2427,                0.79779,                0.66863,                0.74145,                0.41927,                 1.6579,                 1.4188,                 2.1463,              0.0010273,              0.0010273,              0.0010273
                     20,                0.87964,                0.87632,                 1.2772,                0.80297,                0.74241,                0.78346,                0.45047,                 1.6307,                 1.2938,                 2.1654,              0.0010149,              0.0010149,              0.0010149
                     21,                 0.8709,                0.81333,                 1.2289,                0.75411,                0.72458,                0.77706,                0.43676,                 1.7135,                 1.2578,                 2.1666,              0.0010025,              0.0010025,              0.0010025
                     22,                0.89328,                0.84828,                 1.2499,                0.81142,                0.72976,                0.76626,                0.45364,                 1.5509,                 1.2032,                 2.0446,             0.00099013,             0.00099013,             0.00099013
                     23,                0.88683,                0.84238,                 1.2677,                0.72333,                0.70005,                 0.7647,                 0.4231,                 1.6819,                 1.2324,                  2.174,             0.00097775,             0.00097775,             0.00097775
                     24,                0.84785,                0.81509,                 1.2559,                0.76399,                0.71303,                0.77631,                0.43007,                 1.6582,                 1.2603,                 2.1558,             0.00096537,             0.00096537,             0.00096537
                     25,                0.85523,                0.80228,                 1.2623,                0.78936,                0.72153,                0.79176,                 0.4446,                 1.6263,                 1.2275,                 2.1371,               0.000953,               0.000953,               0.000953
                     26,                 0.8409,                0.77285,                 1.2205,                0.78021,                0.78745,                0.81716,                0.46628,                 1.6106,                 1.1783,                  2.139,             0.00094062,             0.00094062,             0.00094062
                     27,                0.85471,                0.77413,                 1.2138,                0.82601,                0.68585,                0.75267,                0.43274,                  1.661,                  1.246,                  2.123,             0.00092825,             0.00092825,             0.00092825
                     28,                 0.8624,                0.81864,                 1.2628,                0.81861,                0.70327,                0.79393,                0.46123,                 1.5995,                  1.201,                 2.1354,             0.00091588,             0.00091588,             0.00091588
                     29,                0.83068,                0.77287,                 1.2122,                0.78149,                0.66452,                0.74198,                0.44189,                 1.6444,                 1.2659,                 2.1278,              0.0009035,              0.0009035,              0.0009035
                     30,                0.81719,                  0.708,                 1.1985,                0.70563,                 0.7564,                0.76042,                0.45273,                 1.6256,                  1.224,                 2.0446,             0.00089112,             0.00089112,             0.00089112
                     31,                0.81726,                0.72304,                 1.2021,                0.79537,                 0.7404,                0.79371,                0.49148,                 1.5425,                 1.1514,                 2.0096,             0.00087875,             0.00087875,             0.00087875
                     32,                0.74938,                0.70375,                 1.1674,                0.80468,                0.72203,                0.79315,                0.48519,                 1.5778,                 1.1523,                 2.0443,             0.00086637,             0.00086637,             0.00086637
                     33,                 0.7431,                0.68186,                 1.1642,                0.76644,                0.73687,                 0.7777,                0.45621,                 1.6085,                 1.2905,                  2.158,               0.000854,               0.000854,               0.000854
                     34,                0.78007,                0.70049,                 1.1616,                0.76768,                0.76644,                0.80794,                0.48443,                 1.5466,                 1.2133,                  2.103,             0.00084162,             0.00084162,             0.00084162
                     35,                0.76309,                0.67395,                 1.1734,                0.78179,                0.66669,                0.74515,                0.45425,                 1.5939,                 1.3706,                  2.154,             0.00082925,             0.00082925,             0.00082925
                     36,                0.74566,                0.68612,                 1.1897,                0.83409,                0.77148,                0.82546,                0.47061,                 1.5977,                 1.1939,                 2.1269,             0.00081688,             0.00081688,             0.00081688
                     37,                0.80215,                0.67703,                 1.1825,                0.78215,                0.74787,                0.78875,                0.45475,                 1.6327,                 1.1521,                 2.1567,              0.0008045,              0.0008045,              0.0008045
